ProductID,ProductName,Category,UnitPrice
PROD0134,Product_134,Fashion,3003.77
PROD0135,Product_135,Sports & Fitness,4219.06
PROD0136,Product_136,Fashion,2553.16
PROD0137,Product_137,Electronics,4676.17
PROD0138,Product_138,Sports & Fitness,4169.54
PROD0139,Product_139,Sports & Fitness,4635.29
PROD0140,Product_140,Electronics,2689.88
PROD0141,Product_141,Electronics,4196.75
PROD0142,Product_142,Beauty & Personal Care,2337.8
PROD0143,Product_143,Electronics,593.6
PROD0144,Product_144,Sports & Fitness,3169.17
PROD0145,Product_145,Home & Kitchen,1783.24
PROD0146,Product_146,Fashion,835.05
PROD0147,Product_147,Fashion,2844.85
PROD0148,Product_148,Fashion,2321.73
PROD0149,Product_149,Sports & Fitness,565.83
PROD0150,Product_150,Sports & Fitness,2183.04
PROD0151,Product_151,Fashion,4559.74
PROD0152,Product_152,Electronics,1119.38
PROD0153,Product_153,Sports & Fitness,2840.96
PROD0154,Product_154,Home & Kitchen,539.44
PROD0155,Product_155,Beauty & Personal Care,1139.87
PROD0156,Product_156,Sports & Fitness,4829.1
PROD0157,Product_157,Home & Kitchen,1932.86
PROD0158,Product_158,Fashion,3699
PROD0159,Product_159,Home & Kitchen,2193.28
PROD0160,Product_160,Home & Kitchen,184.26
PROD0161,Product_161,Beauty & Personal Care,2442.9
PROD0162,Product_162,Beauty & Personal Care,2560.14
PROD0163,Product_163,Home & Kitchen,362.02
PROD0164,Product_164,Beauty & Personal Care,2075.64
PROD0165,Product_165,Electronics,934.15
PROD0166,Product_166,Electronics,4924.1
PROD0167,Product_167,Home & Kitchen,4677.79
PROD0168,Product_168,Beauty & Personal Care,2603.57
PROD0169,Product_169,Beauty & Personal Care,932.24
PROD0170,Product_170,Home & Kitchen,1915.88
PROD0171,Product_171,Sports & Fitness,1552.1
PROD0172,Product_172,Beauty & Personal Care,3914.22
PROD0173,Product_173,Beauty & Personal Care,4234.9
PROD0174,Product_174,Fashion,3244.07
PROD0175,Product_175,Fashion,3755.26
PROD0176,Product_176,Sports & Fitness,971.12
PROD0177,Product_177,Sports & Fitness,4593.36
PROD0178,Product_178,Electronics,2412.1
PROD0179,Product_179,Beauty & Personal Care,1521.3
PROD0180,Product_180,Fashion,3155.07
PROD0181,Product_181,Electronics,4679.14
PROD0182,Product_182,Beauty & Personal Care,3586.1
PROD0183,Product_183,Fashion,3579.46
PROD0184,Product_184,Beauty & Personal Care,556.56
PROD0185,Product_185,Fashion,3393.31
PROD0186,Product_186,Sports & Fitness,2608.06
PROD0187,Product_187,Fashion,3459.77
PROD0188,Product_188,Sports & Fitness,1864.74
PROD0189,Product_189,Beauty & Personal Care,3023.88
PROD0190,Product_190,Sports & Fitness,2169.68
PROD0191,Product_191,Electronics,3935.84
PROD0192,Product_192,Fashion,667.59
PROD0193,Product_193,Beauty & Personal Care,224.2
PROD0194,Product_194,Electronics,3681.68
PROD0195,Product_195,Fashion,4728.42
PROD0196,Product_196,Home & Kitchen,2552.1
PROD0197,Product_197,Fashion,3384.67
PROD0198,Product_198,Sports & Fitness,4751.64
PROD0199,Product_199,Home & Kitchen,1877.96
PROD0200,Product_200,Home & Kitchen,1412.52
